# Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions
# All amounts in INR, unless specified
# Definitions:
# Total sales tax liable: Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap.
# TCS-CGST: Tax Collected at Source from Central GST
# TCS-SGST: Tax Collected at Source from State GST
# TCS-IGST: Tax Collected at Source from Integrated GST
# TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961
# Selling fees: Includes variable closing fees and referral fees.
# Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees
"date/time","settlement id","total"
"date/time","settlement id",
"type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","promotional rebates
","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total"
"7 Mar 2022 5:56:18 am UTC","17287804872","Refund
","408-9480336-9251518","JG-L67I-52WR","PEHEL INTERNATIONAL ® Bouffant Cap (Black, 100 Pieces)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","HYDERABAD","TELANGANA","500013","-214.29","0","0","-10.71","0","0","2.14","0","4.25","0","9.44","0","-209.17"
"7 Mar 2022 6:02:49 am UTC","17287804872","Refund
","403-8993865-3265117","3Q-9W5Z-X2RP","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","THANE","MAHARASHTRA","400610","-292.37","0","0","-52.63","0","0","2.92","0","45.59","0","14.16","0","-282.33"
"7 Mar 2022 7:49:18 am UTC","17287804872","Refund
","406-1827043-4202707","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","9","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BANGALORE","KARNATAKA","560037","-2,134.26","0","0","-106.74","0","0","21.33","0","42.31","0","84.96","0","-2,092.40"
"7 Mar 2022 9:36:41 am UTC","17251854272","Adjustment
","171-0979905-7449165","YJ-JER8-MKPQ","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","207.66","207.66"
"7 Mar 2022 9:41:02 am UTC","17251854272","Adjustment
","408-1822015-5717902","C3-HD8B-8E2Y","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","139.93","139.93"
"7 Mar 2022 9:42:00 am UTC","17251854272","Adjustment
","406-2882164-7047532","79-D471-3M49","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","354.74","354.74"
"7 Mar 2022 9:56:21 am UTC","17251854272","Adjustment
","402-6225868-6161104","C3-HD8B-8E1Y","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","98.13","98.13"
"7 Mar 2022 10:12:51 am UTC","17251854272","Adjustment
","404-2023786-8870704","YJ-JER8-MKPQ","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","207.66","207.66"
"7 Mar 2022 10:17:56 am UTC","17251854272","Adjustment
","407-9903524-2331515","C3-HD8B-8E1Y","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","98.13","98.13"
"7 Mar 2022 10:30:06 am UTC","17251854272","Adjustment
","404-5311307-1037937","79-D471-3M49","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","354.74","354.74"
"7 Mar 2022 10:41:44 am UTC","17251854272","Adjustment
","404-9363320-8512365","C3-HD8B-8E1Y","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","98.13","98.13"
"7 Mar 2022 10:44:24 am UTC","17251854272","Adjustment
","402-5557872-9989115","YJ-JER8-MKPQ","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","207.66","207.66"
"7 Mar 2022 10:52:53 am UTC","17251854272","Adjustment
","406-0836275-9777932","YJ-JER8-MKPQ","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","207.66","207.66"
"7 Mar 2022 10:57:52 am UTC","17251854272","Adjustment
","406-4553861-4760360","YJ-JER8-MKPQ","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","207.66","207.66"
"7 Mar 2022 7:19:31 pm UTC","17287804872","Cancellation","403-8815346-5412314","","Order Cancellation Charge","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-23.13","0","-23.13"
"8 Mar 2022 1:29:21 am UTC","17251854272","Refund
","408-0826362-3010743","RN-8X3V-0GXK","PEHEL INTERNATIONAL | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All | (B","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Bhagaiya","JHARKHAND","813208","-507.63","0","0","-91.37","0","0","5.08","0","79.16","0","29.50","0","-485.26"
"8 Mar 2022 9:23:41 am UTC","17306019512","Order
","171-8434109-8121918","C3-HD8B-8E1Y","Pehel International ® Reusable Natural Latex Safety Gloves for Washing, Cleaning, Kitchen, Garden, Sanitation & Daily uses, Yellow - Set of 2 Pair.","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KUMARAPURAM","KERALA","690514","177.68","35.71","0","25.61","0","0","-2.14","0","-4.70","-124.96","-9.44","0","97.76"
"8 Mar 2022 9:24:01 am UTC","17306019512","Order
","405-6102327-2888367","C3-HD8B-8E2Y","Pehel International | Reusable Natural Latex Safety Gloves | for Washing, Cleaning, Kitchen, Garden, Sanitation & Other Daily uses, Yellow Color | Pac","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","IMPHAL","MANIPUR","795004","253.39","33.90","-33.90","45.61","0","0","-2.53","0","-7.06","-84.96","-14.16","0","190.29"
"8 Mar 2022 9:35:52 am UTC","17306019512","Order
","171-7885582-7382734","AM-YQT8-F5EX","HEISHI Unisex Cotton Reusable Gloves (White, Set of 5 Pairs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122002","237.14","0","0","11.86","0","0","-2.37","0","-5.88","-84.96","-9.44","0","146.35"
"8 Mar 2022 10:27:54 am UTC","17306019512","Transfer
","","","To account ending with: ","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","-576.53","-576.53"
"8 Mar 2022 10:37:44 am UTC","17251854272","Shipping Services
","408-6356668-2657121","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-341.02","0","-341.02"
"8 Mar 2022 10:37:48 am UTC","17306019512","Shipping Services
","408-6970748-9276335","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"8 Mar 2022 10:44:02 am UTC","17306019512","Shipping Services
","405-8057732-1158712","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-146.32","0","-146.32"
"8 Mar 2022 10:51:31 am UTC","17251854272","Order
","408-6356668-2657121","QJ-BYLE-NHCY","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","SIPCOT THOOTHUKUDI","TAMIL NADU","628008","1,270.34","0","0","228.66","0","0","-12.70","0","-265.32","0","-66.08","0","1,154.90"
"8 Mar 2022 10:52:13 am UTC","17306019512","Order
","408-6970748-9276335","W4-BCML-II6W","Pehel International Unisex Cotton Reusable Gloves Ideal for Gardening, Kitchen and Daily Routine Activities (White, Set of 10 Pairs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","VILLUPURAM","TAMIL NADU","605602","380.00","0","0","19.00","0","0","-3.80","0","-42.37","0","-14.16","0","338.67"
"8 Mar 2022 10:52:45 am UTC","17306019512","Order
","407-1228802-2286749","AM-YQT8-F5EX","HEISHI Unisex Cotton Reusable Gloves (White, Set of 5 Pairs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHENNAI","TAMIL NADU","600030","237.14","0","0","11.86","0","0","-2.37","0","-5.88","-84.96","-9.44","0","146.35"
"8 Mar 2022 10:53:46 am UTC","17306019512","Order
","402-0358439-5387504","JV-4MJ0-OWH1","Pehel International resuable and washable Sponge Wipes with super absorbant biodegradable cellulose material for kitchen and home cleaning (Multicolor","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VIRUDHUNAGAR","TAMIL NADU","626123","295.76","0","0","53.24","0","0","-2.96","0","-37.06","-84.96","-14.16","0","209.86"
"8 Mar 2022 10:58:22 am UTC","17306019512","Order
","405-8057732-1158712","3Q-9W5Z-X2RP","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","PATNA","BIHAR","800014","292.37","0","0","52.63","0","0","-2.92","0","-56.99","0","-14.16","0","270.93"
"8 Mar 2022 4:45:51 pm UTC","17251854272","Reimbursements","405-7297079-5649151","8H-ZNSD-WJN5","Reimbursement issued for lost or damaged package","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","113.31","113.31"
"9 Mar 2022 5:09:31 am UTC","17251854272","Tax Withheld","","","TDS - Section 194-O - Tue Mar 08 00:00:00 UTC 2022","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","-12.70","0","0","0","0","-12.70"
"9 Mar 2022 5:15:17 am UTC","17306019512","Tax Withheld","","","TDS - Section 194-O - Tue Mar 08 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-19.09","0","0","0","0","-19.09"
"9 Mar 2022 8:39:47 am UTC","17306019512","Shipping Services
","404-9651333-1263544","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-146.32","0","-146.32"
"9 Mar 2022 8:54:42 am UTC","17306019512","Order
","404-9651333-1263544","3Q-9W5Z-X2RP","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Kolkata","WEST BENGAL","700033","292.37","0","0","52.63","0","0","-2.92","0","-56.99","0","-14.16","0","270.93"
"10 Mar 2022 4:38:38 am UTC","17306019512","Tax Withheld","","","TDS - Section 194-O - Wed Mar 09 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-2.92","0","0","0","0","-2.92"
"10 Mar 2022 9:35:57 am UTC","17320340392","Transfer
","","","To account ending with: ","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","-795.49","-795.49"
"10 Mar 2022 10:11:28 am UTC","17251854272","Shipping Services
","407-9757836-6045924","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"10 Mar 2022 10:11:40 am UTC","17320340392","Shipping Services
","406-8362949-4395507","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"10 Mar 2022 10:11:43 am UTC","17320340392","Shipping Services
","408-9645627-9431506","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"10 Mar 2022 10:26:37 am UTC","17320340392","Order
","408-9645627-9431506","QJ-BYLE-NHCY","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NEW DELHI","DELHI","110007","2,540.68","0","0","457.32","0","0","-25.40","0","-530.65","0","-132.16","0","2,309.79"
"10 Mar 2022 10:27:24 am UTC","17251854272","Order
","407-9757836-6045924","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","BENGALURU","KARNATAKA","560057","237.14","0","0","11.86","0","0","-2.37","0","-5.88","0","-9.44","0","231.31"
"10 Mar 2022 10:27:34 am UTC","17320340392","Order
","406-8362949-4395507","RT-G1AB-5V7C","Comfitwear Disposable Latex Gloves, Powder-Free Size Large, 100 gloves per box","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","MUMBAI","MAHARASHTRA","400081","380.00","0","0","19.00","0","0","-3.80","0","-25.90","0","-14.16","0","355.14"
"10 Mar 2022 10:28:09 am UTC","17320340392","Order
","402-9220072-5893116","SW-9HK9-TDSJ","Pehel International | Plastic Disposable Gloves | for Cleaning, Kitchen, Garden, Sanitation & Other Daily uses, Transparent | 12 Inch | Set of 200 Pai","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122018","422.04","0","0","75.96","0","0","-4.22","0","-11.75","-159.30","-18.88","0","303.85"
"11 Mar 2022 4:56:50 am UTC","17293855272","Tax Withheld","","","TDS - Section 194-O - Thu Mar 10 00:00:00 UTC 2022","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","-2.37","0","0","0","0","-2.37"
"11 Mar 2022 5:01:59 am UTC","17320340392","Tax Withheld","","","TDS - Section 194-O - Thu Mar 10 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-33.43","0","0","0","0","-33.43"
"11 Mar 2022 9:04:52 am UTC","17320340392","Shipping Services
","408-5550218-2620346","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"11 Mar 2022 9:05:28 am UTC","17320340392","Shipping Services
","171-4887645-7009141","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"11 Mar 2022 9:20:49 am UTC","17320340392","Order
","408-5550218-2620346","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","VARANASI","UTTAR PRADESH","221002","237.14","0","0","11.86","0","0","-2.37","0","-5.88","0","-9.44","0","231.31"
"11 Mar 2022 9:21:07 am UTC","17320340392","Order
","171-4887645-7009141","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","KOLKATA","WEST BENGAL","700074","237.14","0","0","11.86","0","0","-2.37","0","-5.88","0","-9.44","0","231.31"
"11 Mar 2022 9:23:07 am UTC","17320340392","Order
","406-3647146-1774749","AM-YQT8-F5EX","HEISHI Unisex Cotton Reusable Gloves (White, Set of 5 Pairs)","10","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NAVI MUMBAI","MAHARASHTRA","410209","2,371.40","0","0","118.60","0","0","-23.70","0","-58.76","-271.40","-94.40","0","2,041.74"
"11 Mar 2022 11:43:42 pm UTC","17293855272","Reimbursements","404-5775183-5079532","8H-ZNSD-WJN5","Reimbursement issued for lost or damaged package","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","113.31","113.31"
"11 Mar 2022 11:48:14 pm UTC","17293855272","Reimbursements","404-2757423-1674756","MN-I1YT-KP5M","Reimbursement issued for lost or damaged package","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","574.02","574.02"
"12 Mar 2022 5:21:48 am UTC","17320340392","Tax Withheld","","","TDS - Section 194-O - Fri Mar 11 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-28.46","0","0","0","0","-28.46"
"12 Mar 2022 7:01:32 am UTC","17320340392","Refund
","171-7885582-7382734","AM-YQT8-F5EX","HEISHI Unisex Cotton Reusable Gloves (White, Set of 5 Pairs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122002","-237.14","0","0","-11.86","0","0","2.37","0","4.70","0","9.44","0","-232.49"
"12 Mar 2022 9:05:24 am UTC","17293855272","Shipping Services
","404-1720756-2067507","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"12 Mar 2022 9:20:56 am UTC","17293855272","Order
","404-1720756-2067507","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","3","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MUMBAI","MAHARASHTRA","400026","711.42","0","0","35.58","0","0","-7.11","0","-17.64","0","-28.32","0","693.93"
"12 Mar 2022 10:22:01 am UTC","17293855272","Order
","408-5293348-9798742","AM-YQT8-F5EX","HEISHI Unisex Cotton Reusable Gloves (White, Set of 5 Pairs)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BENGALURU","KARNATAKA","560035","237.14","0","0","11.86","0","0","-2.37","0","-5.88","-84.96","-9.44","0","146.35"
"12 Mar 2022 10:22:03 am UTC","17320340392","Order
","404-0411646-8623524","PA-RJWA-YYQR","Pehel International Dishcloth Cellulose Sponge Cloths, Eco-Friendly No Odor Reusable Cleaning Cloths for Kitchen - Absorbent Dish Cloth Hand Towel (As","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110021","253.39","0","0","45.61","0","0","-2.53","0","-7.06","-84.96","-14.16","0","190.29"
"12 Mar 2022 10:39:57 am UTC","17293855272","Refund
","408-4769156-7490707","QJ-BYLE-NHCY","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","TIPTUR","KARNATAKA","572201","-1,270.34","0","0","-228.66","0","0","12.70","0","212.26","0","66.08","0","-1,207.96"
"12 Mar 2022 11:49:48 am UTC","17320340392","Refund
","406-1072819-5708357","N8-0W4B-SDD8","SOFT HANDS Latex Medical Examination Gloves (White, Large)","3","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","CHENNAI","TAMIL NADU","600072","-934.83","0","0","-112.17","0","0","9.36","0","54.38","0","42.48","0","-940.78"
"12 Mar 2022 3:02:46 pm UTC","17320340392","Refund
","406-8362949-4395507","RT-G1AB-5V7C","Comfitwear Disposable Latex Gloves, Powder-Free Size Large, 100 gloves per box","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","MUMBAI","MAHARASHTRA","400081","-380.00","0","0","-19.00","0","0","3.80","0","20.72","0","14.16","0","-360.32"
"13 Mar 2022 4:50:22 am UTC","17293855272","Tax Withheld","","","TDS - Section 194-O - Sat Mar 12 00:00:00 UTC 2022","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","-9.49","0","0","0","0","-9.49"
"13 Mar 2022 5:16:01 am UTC","17320340392","Tax Withheld","","","TDS - Section 194-O - Sat Mar 12 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-2.53","0","0","0","0","-2.53"
"13 Mar 2022 9:20:55 am UTC","17293855272","Shipping Services
","407-6753498-8353143","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"13 Mar 2022 9:36:02 am UTC","17293855272","Order
","407-6753498-8353143","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","SANKARI","TAMIL NADU","637301","237.14","0","0","11.86","0","0","-2.37","0","-5.88","0","-9.44","0","231.31"
"13 Mar 2022 9:38:44 am UTC","17293855272","Order
","406-5845564-8011553","C3-HD8B-8E2Y","Pehel International | Reusable Natural Latex Safety Gloves | for Washing, Cleaning, Kitchen, Garden, Sanitation & Other Daily uses, Yellow Color | Pac","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","DEHRADUN","UTTARAKHAND","248002","253.39","33.90","-33.90","45.61","0","0","-2.53","0","-7.06","-84.96","-14.16","0","190.29"
"14 Mar 2022 5:06:12 am UTC","17293855272","Tax Withheld","","","TDS - Section 194-O - Sun Mar 13 00:00:00 UTC 2022","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","-4.91","0","0","0","0","-4.91"
"14 Mar 2022 5:28:21 am UTC","17293855272","Refund
","408-6356668-2657121","QJ-BYLE-NHCY","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","SIPCOT THOOTHUKUDI","TAMIL NADU","628008","-1,270.34","0","0","-228.66","0","0","12.70","0","265.32","0","66.08","0","-1,154.90"
"14 Mar 2022 7:52:02 am UTC","17337328562","Transfer
","","","To account ending with: ","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","-164.65","-164.65"
"14 Mar 2022 9:13:38 am UTC","17337328562","Shipping Services
","403-5998399-6244304","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-105.02","0","-105.02"
"14 Mar 2022 9:13:51 am UTC","17337328562","Shipping Services
","171-8755867-7109149","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"14 Mar 2022 9:14:02 am UTC","17293855272","Shipping Services
","403-8613289-7299504","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"14 Mar 2022 9:29:15 am UTC","17293855272","Order
","403-8613289-7299504","NM-8PT8-XDXF","Pehel International Black Bouffant Cap 100 Pcs","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","NEW DELHI","DELHI","110060","219.05","0","0","10.95","0","0","-2.19","0","-5.43","0","-9.44","0","212.94"
"14 Mar 2022 9:29:17 am UTC","17337328562","Order
","403-5998399-6244304","RN-8X3V-0GXK","PEHEL INTERNATIONAL | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All | (B","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","THANE","MAHARASHTRA","400610","507.63","0","0","91.37","0","0","-5.08","0","-98.95","0","-29.50","0","465.47"
"14 Mar 2022 9:29:27 am UTC","17337328562","Order
","171-8755867-7109149","NM-8PT8-XDXF","Pehel International Black Bouffant Cap 100 Pcs","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","ASANSOL","WEST BENGAL","713304","219.05","0","0","10.95","0","0","-2.19","0","-5.43","0","-9.44","0","212.94"
"14 Mar 2022 9:30:04 am UTC","17337328562","Order
","405-6343793-9733919","AM-YQT8-F5EX","HEISHI Unisex Cotton Reusable Gloves (White, Set of 5 Pairs)","3","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","562157","711.42","0","0","35.58","0","0","-7.11","0","-17.63","-172.28","-28.32","0","521.66"
"14 Mar 2022 9:33:26 am UTC","17293855272","Order
","408-7366325-0226732","ZS-FS5A-UAB7","PEHEL INTERNATIONAL Safety Hand Gloves (White, 10 Pairs)","2","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Bantawal","KARNATAKA","574211","758.10","76.20","-76.20","37.90","0","0","-7.58","0","-84.54","-97.94","-28.32","0","577.62"
"15 Mar 2022 5:26:12 am UTC","17337328562","Tax Withheld","","","TDS - Section 194-O - Mon Mar 14 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-14.38","0","0","0","0","-14.38"
"15 Mar 2022 5:36:36 am UTC","17293855272","Tax Withheld","","","TDS - Section 194-O - Mon Mar 14 00:00:00 UTC 2022","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","-9.77","0","0","0","0","-9.77"
"15 Mar 2022 9:09:10 am UTC","17359545292","Shipping Services
","403-7562600-5321930","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-146.32","0","-146.32"
"15 Mar 2022 9:09:42 am UTC","17293855272","Shipping Services
","402-8437408-2404358","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"15 Mar 2022 9:09:50 am UTC","17359545292","Shipping Services
","407-2176335-4021139","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
